task,step,reward,planning,memory,recovery,terminal,loss
training-loop,164,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,165,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,166,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,167,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,168,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,169,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,170,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,171,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,172,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,173,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,174,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,175,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,176,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,177,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,178,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,179,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,180,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,181,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,182,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,183,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,184,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,185,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,186,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,187,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,188,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,189,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,190,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,191,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,192,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,193,0.461083,0.000000,0.000000,0.000000,0.000000,0.308000
training-loop,194,0.461083,0.000000,0.000000,0.000000,0.000000,-0.043900
training-loop,195,0.461083,0.000000,0.000000,0.000000,0.000000,-0.044000
training-loop,196,0.461083,0.000000,0.000000,0.000000,0.000000,-0.044000
training-loop,197,0.461083,0.000000,0.000000,0.000000,0.000000,-0.043900
training-loop,198,0.461083,0.000000,0.000000,0.000000,0.000000,-0.044000
training-loop,199,0.461083,0.000000,0.000000,0.000000,0.000000,-0.044000
training-loop,200,0.461083,0.000000,0.000000,0.000000,0.000000,-0.044000
